2018-10-20 00:19:55 configure libldap2-dev:amd64 2.4.44+dfsg-5+deb9u2 <none>
2018-10-20 00:19:55 status unpacked libldap2-dev:amd64 2.4.44+dfsg-5+deb9u2
2018-10-20 00:19:55 status half-configured libldap2-dev:amd64 2.4.44+dfsg-5+deb9u2
2018-10-20 00:19:55 status installed libldap2-dev:amd64 2.4.44+dfsg-5+deb9u2
2018-10-20 00:19:55 configure libaprutil1-dev:amd64 1.5.4-3 <none>
2018-10-20 00:19:55 status unpacked libaprutil1-dev:amd64 1.5.4-3
2018-10-20 00:19:55 status half-configured libaprutil1-dev:amd64 1.5.4-3
2018-10-20 00:19:55 status installed libaprutil1-dev:amd64 1.5.4-3
2018-10-20 00:19:55 trigproc libc-bin:amd64 2.24-11+deb9u3 <none>
2018-10-20 00:19:55 status half-configured libc-bin:amd64 2.24-11+deb9u3
2018-10-20 00:19:55 status installed libc-bin:amd64 2.24-11+deb9u3
2018-10-24 22:20:18 startup archives unpack
2018-10-24 22:20:18 install perl-modules-5.24:all <none> 5.24.1-3+deb9u4
2018-10-24 22:20:18 status half-installed perl-modules-5.24:all 5.24.1-3+deb9u4
2018-10-24 22:20:18 status unpacked perl-modules-5.24:all 5.24.1-3+deb9u4
2018-10-24 22:20:18 status unpacked perl-modules-5.24:all 5.24.1-3+deb9u4
2018-10-24 22:20:18 install libperl5.24:amd64 <none> 5.24.1-3+deb9u4
2018-10-24 22:20:18 status triggers-pending libc-bin:amd64 2.24-11+deb9u3
2018-10-24 22:20:18 status half-installed libperl5.24:amd64 5.24.1-3+deb9u4
2018-10-24 22:20:19 status unpacked libperl5.24:amd64 5.24.1-3+deb9u4
2018-10-24 22:20:19 status unpacked libperl5.24:amd64 5.24.1-3+deb9u4
2018-10-24 22:20:19 install perl:amd64 <none> 5.24.1-3+deb9u4
2018-10-24 22:20:19 status half-installed perl:amd64 5.24.1-3+deb9u4
2018-10-24 22:20:19 status unpacked perl:amd64 5.24.1-3+deb9u4
2018-10-24 22:20:19 status unpacked perl:amd64 5.24.1-3+deb9u4
2018-10-24 22:20:19 install libpcrecpp0v5:amd64 <none> 2:8.39-3
2018-10-24 22:20:19 status half-installed libpcrecpp0v5:amd64 2:8.39-3
2018-10-24 22:20:19 status unpacked libpcrecpp0v5:amd64 2:8.39-3
2018-10-24 22:20:19 status unpacked libpcrecpp0v5:amd64 2:8.39-3
2018-10-24 22:20:19 install libassuan0:amd64 <none> 2.4.3-2
2018-10-24 22:20:19 status half-installed libassuan0:amd64 2.4.3-2
2018-10-24 22:20:19 status unpacked libassuan0:amd64 2.4.3-2
2018-10-24 22:20:19 status unpacked libassuan0:amd64 2.4.3-2
2018-10-24 22:20:19 install pinentry-curses:amd64 <none> 1.0.0-2
2018-10-24 22:20:19 status half-installed pinentry-curses:amd64 1.0.0-2
2018-10-24 22:20:19 status unpacked pinentry-curses:amd64 1.0.0-2
2018-10-24 22:20:19 status unpacked pinentry-curses:amd64 1.0.0-2
2018-10-24 22:20:19 install libnpth0:amd64 <none> 1.3-1
2018-10-24 22:20:19 status half-installed libnpth0:amd64 1.3-1
